Franchise,Country,Creation Date,Revenue (Billion USD),Number of Platforms,Month,Interest Value
Gran Turismo,Japan,1997,4.1,52,2007-09-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2007-09-01,7
Gundam,Japan,1979,5.0,17,2007-09-01,0
Hamtaro,Japan,1997,3.02,3,2007-09-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2007-09-01,4
Hello Kitty,Japan,1974,33.5,7,2007-09-01,1
James Bond,US,1953,9.75,135,2007-09-01,1
Jurassic Park,US,1990,10.1,106,2007-09-01,0
Kumamon,Japan,2010,2.36,,2007-09-01,0
Looney Tunes,US,1930,17.46,80,2007-09-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2007-09-01,0
Monster Strike,Japan,2013,10.0,34,2007-09-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2007-09-01,0
Paw Patrol,US,2013,15.4,95,2007-09-01,0
Pac-Man,Japan,1980,15.43,8,2007-09-01,2
Peanuts,US,1950,14.4,51,2007-09-01,0
Power Rangers,Japan,1975,8.67,61,2007-09-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2007-09-01,3
Rilakkuma,Japan,2003,10.0,,2007-09-01,0
Sailor Moon,Japan,1991,2.5,16,2007-09-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2007-09-01,1
Space Invaders,Japan,1978,13.9,46,2007-09-01,0
Spider-Man,US,1962,26.8,107,2007-09-01,2
Spongebob Squarepants,US,1999,16.6,83,2007-09-01,2
Star Trek,US,1966,11.2,106,2007-09-01,1
Star Wars,US,1977,46.7,60,2007-09-01,2
Street Fighter,Japan,1987,10.7,103,2007-09-01,0
Super Mario,Japan,1981,8.75,93,2007-09-01,6
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2007-09-01,0
Avengers,US,1963,14.3,78,2007-09-01,0
The Lion King,US,1994,15.9,63,2007-09-01,1
Toy Story,US,1995,14.8,40,2007-09-01,0
Ultraman,Japan,1966,7.4,49,2007-09-01,0
Warcraft,US,1994,12.4,51,2007-09-01,18
Yo-kai Watch,Japan,2013,2.09,18,2007-09-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2007-09-01,0
Angry Birds,US,2009,9.54,76,2007-10-01,0
Anpanman,Japan,1973,38.4,13,2007-10-01,0
Astro Boy,Japan,1952,3.0,32,2007-10-01,0
Barbie,US,1987,36.3,73,2007-10-01,9
Beyblade,Japan,1999,4.6,1,2007-10-01,0
Batman,US,1939,29.9,117,2007-10-01,1
Call Of Duty,US,2003,31.0,28,2007-10-01,3
Candy Crush,US,2012,20.0,0,2007-10-01,0
Cars,US,2006,21.5,89,2007-10-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2007-10-01,0
Despicable Me (Minions),US,2010,12.3,108,2007-10-01,0
Disney Princess,US,2000,45.4,247,2007-10-01,0
Dora The Explorer,US,2000,15.8,67,2007-10-01,0
Dragon Ball,Japan,1984,10.7,50,2007-10-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2007-10-01,0
Frozen,US,2013,13.9,107,2007-10-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2007-10-01,0
Gran Turismo,Japan,1997,4.1,52,2007-10-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2007-10-01,7
Gundam,Japan,1979,5.0,17,2007-10-01,0
Hamtaro,Japan,1997,3.02,3,2007-10-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2007-10-01,4
Hello Kitty,Japan,1974,33.5,7,2007-10-01,1
James Bond,US,1953,9.75,135,2007-10-01,1
Jurassic Park,US,1990,10.1,106,2007-10-01,0
Kumamon,Japan,2010,2.36,,2007-10-01,0
Looney Tunes,US,1930,17.46,80,2007-10-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2007-10-01,0
Monster Strike,Japan,2013,10.0,34,2007-10-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2007-10-01,0
Paw Patrol,US,2013,15.4,95,2007-10-01,0
Pac-Man,Japan,1980,15.43,8,2007-10-01,2
Peanuts,US,1950,14.4,51,2007-10-01,0
Power Rangers,Japan,1975,8.67,61,2007-10-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2007-10-01,2
Rilakkuma,Japan,2003,10.0,,2007-10-01,0
Sailor Moon,Japan,1991,2.5,16,2007-10-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2007-10-01,1
Space Invaders,Japan,1978,13.9,46,2007-10-01,0
Spider-Man,US,1962,26.8,107,2007-10-01,2
Spongebob Squarepants,US,1999,16.6,83,2007-10-01,2
Star Trek,US,1966,11.2,106,2007-10-01,1
Star Wars,US,1977,46.7,60,2007-10-01,2
Street Fighter,Japan,1987,10.7,103,2007-10-01,1
Super Mario,Japan,1981,8.75,93,2007-10-01,7
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2007-10-01,0
Avengers,US,1963,14.3,78,2007-10-01,0
The Lion King,US,1994,15.9,63,2007-10-01,1
Toy Story,US,1995,14.8,40,2007-10-01,0
Ultraman,Japan,1966,7.4,49,2007-10-01,0
Warcraft,US,1994,12.4,51,2007-10-01,18
Yo-kai Watch,Japan,2013,2.09,18,2007-10-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2007-10-01,0
Angry Birds,US,2009,9.54,76,2007-11-01,0
Anpanman,Japan,1973,38.4,13,2007-11-01,0
Astro Boy,Japan,1952,3.0,32,2007-11-01,0
Barbie,US,1987,36.3,73,2007-11-01,9
Beyblade,Japan,1999,4.6,1,2007-11-01,0
Batman,US,1939,29.9,117,2007-11-01,1
Call Of Duty,US,2003,31.0,28,2007-11-01,7
Candy Crush,US,2012,20.0,0,2007-11-01,0
Cars,US,2006,21.5,89,2007-11-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2007-11-01,0
Despicable Me (Minions),US,2010,12.3,108,2007-11-01,0
Disney Princess,US,2000,45.4,247,2007-11-01,0
Dora The Explorer,US,2000,15.8,67,2007-11-01,0
Dragon Ball,Japan,1984,10.7,50,2007-11-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2007-11-01,0
Frozen,US,2013,13.9,107,2007-11-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2007-11-01,0
Gran Turismo,Japan,1997,4.1,52,2007-11-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2007-11-01,7
Gundam,Japan,1979,5.0,17,2007-11-01,0
Hamtaro,Japan,1997,3.02,3,2007-11-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2007-11-01,4
Hello Kitty,Japan,1974,33.5,7,2007-11-01,1
James Bond,US,1953,9.75,135,2007-11-01,1
Jurassic Park,US,1990,10.1,106,2007-11-01,0
Kumamon,Japan,2010,2.36,,2007-11-01,0
Looney Tunes,US,1930,17.46,80,2007-11-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2007-11-01,0
Monster Strike,Japan,2013,10.0,34,2007-11-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2007-11-01,0
Paw Patrol,US,2013,15.4,95,2007-11-01,0
Pac-Man,Japan,1980,15.43,8,2007-11-01,2
Peanuts,US,1950,14.4,51,2007-11-01,0
Power Rangers,Japan,1975,8.67,61,2007-11-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2007-11-01,2
Rilakkuma,Japan,2003,10.0,,2007-11-01,0
Sailor Moon,Japan,1991,2.5,16,2007-11-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2007-11-01,1
Space Invaders,Japan,1978,13.9,46,2007-11-01,0
Spider-Man,US,1962,26.8,107,2007-11-01,2
Spongebob Squarepants,US,1999,16.6,83,2007-11-01,2
Star Trek,US,1966,11.2,106,2007-11-01,0
Star Wars,US,1977,46.7,60,2007-11-01,2
Street Fighter,Japan,1987,10.7,103,2007-11-01,0
Super Mario,Japan,1981,8.75,93,2007-11-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2007-11-01,0
Avengers,US,1963,14.3,78,2007-11-01,0
The Lion King,US,1994,15.9,63,2007-11-01,1
Toy Story,US,1995,14.8,40,2007-11-01,0
Ultraman,Japan,1966,7.4,49,2007-11-01,0
Warcraft,US,1994,12.4,51,2007-11-01,18
Yo-kai Watch,Japan,2013,2.09,18,2007-11-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2007-11-01,0
Angry Birds,US,2009,9.54,76,2007-12-01,0
Anpanman,Japan,1973,38.4,13,2007-12-01,0
Astro Boy,Japan,1952,3.0,32,2007-12-01,0
Barbie,US,1987,36.3,73,2007-12-01,12
Beyblade,Japan,1999,4.6,1,2007-12-01,0
Batman,US,1939,29.9,117,2007-12-01,1
Call Of Duty,US,2003,31.0,28,2007-12-01,7
Candy Crush,US,2012,20.0,0,2007-12-01,0
Cars,US,2006,21.5,89,2007-12-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2007-12-01,0
Despicable Me (Minions),US,2010,12.3,108,2007-12-01,0
Disney Princess,US,2000,45.4,247,2007-12-01,0
Dora The Explorer,US,2000,15.8,67,2007-12-01,0
Dragon Ball,Japan,1984,10.7,50,2007-12-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2007-12-01,0
Frozen,US,2013,13.9,107,2007-12-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2007-12-01,0
Gran Turismo,Japan,1997,4.1,52,2007-12-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2007-12-01,8
Gundam,Japan,1979,5.0,17,2007-12-01,0
Hamtaro,Japan,1997,3.02,3,2007-12-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2007-12-01,4
Hello Kitty,Japan,1974,33.5,7,2007-12-01,1
James Bond,US,1953,9.75,135,2007-12-01,1
Jurassic Park,US,1990,10.1,106,2007-12-01,0
Kumamon,Japan,2010,2.36,,2007-12-01,0
Looney Tunes,US,1930,17.46,80,2007-12-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2007-12-01,0
Monster Strike,Japan,2013,10.0,34,2007-12-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2007-12-01,0
Paw Patrol,US,2013,15.4,95,2007-12-01,0
Pac-Man,Japan,1980,15.43,8,2007-12-01,2
Peanuts,US,1950,14.4,51,2007-12-01,0
Power Rangers,Japan,1975,8.67,61,2007-12-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2007-12-01,2
Rilakkuma,Japan,2003,10.0,,2007-12-01,0
Sailor Moon,Japan,1991,2.5,16,2007-12-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2007-12-01,2
Space Invaders,Japan,1978,13.9,46,2007-12-01,0
Spider-Man,US,1962,26.8,107,2007-12-01,2
Spongebob Squarepants,US,1999,16.6,83,2007-12-01,2
Star Trek,US,1966,11.2,106,2007-12-01,1
Star Wars,US,1977,46.7,60,2007-12-01,3
Street Fighter,Japan,1987,10.7,103,2007-12-01,1
Super Mario,Japan,1981,8.75,93,2007-12-01,9
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2007-12-01,0
Avengers,US,1963,14.3,78,2007-12-01,0
The Lion King,US,1994,15.9,63,2007-12-01,1
Toy Story,US,1995,14.8,40,2007-12-01,0
Ultraman,Japan,1966,7.4,49,2007-12-01,0
Warcraft,US,1994,12.4,51,2007-12-01,21
Yo-kai Watch,Japan,2013,2.09,18,2007-12-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2007-12-01,0
Angry Birds,US,2009,9.54,76,2008-01-01,0
Anpanman,Japan,1973,38.4,13,2008-01-01,0
Astro Boy,Japan,1952,3.0,32,2008-01-01,0
Barbie,US,1987,36.3,73,2008-01-01,9
Beyblade,Japan,1999,4.6,1,2008-01-01,0
Batman,US,1939,29.9,117,2008-01-01,2
Call Of Duty,US,2003,31.0,28,2008-01-01,5
Candy Crush,US,2012,20.0,0,2008-01-01,0
Cars,US,2006,21.5,89,2008-01-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-01-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-01-01,0
Disney Princess,US,2000,45.4,247,2008-01-01,0
Dora The Explorer,US,2000,15.8,67,2008-01-01,0
Dragon Ball,Japan,1984,10.7,50,2008-01-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-01-01,0
Frozen,US,2013,13.9,107,2008-01-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-01-01,0
Gran Turismo,Japan,1997,4.1,52,2008-01-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-01-01,8
Gundam,Japan,1979,5.0,17,2008-01-01,0
Hamtaro,Japan,1997,3.02,3,2008-01-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-01-01,3
Hello Kitty,Japan,1974,33.5,7,2008-01-01,1
James Bond,US,1953,9.75,135,2008-01-01,1
Jurassic Park,US,1990,10.1,106,2008-01-01,0
Kumamon,Japan,2010,2.36,,2008-01-01,0
Looney Tunes,US,1930,17.46,80,2008-01-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-01-01,0
Monster Strike,Japan,2013,10.0,34,2008-01-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-01-01,0
Paw Patrol,US,2013,15.4,95,2008-01-01,0
Pac-Man,Japan,1980,15.43,8,2008-01-01,2
Peanuts,US,1950,14.4,51,2008-01-01,0
Power Rangers,Japan,1975,8.67,61,2008-01-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-01-01,2
Rilakkuma,Japan,2003,10.0,,2008-01-01,0
Sailor Moon,Japan,1991,2.5,16,2008-01-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-01-01,2
Space Invaders,Japan,1978,13.9,46,2008-01-01,0
Spider-Man,US,1962,26.8,107,2008-01-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-01-01,2
Star Trek,US,1966,11.2,106,2008-01-01,1
Star Wars,US,1977,46.7,60,2008-01-01,2
Street Fighter,Japan,1987,10.7,103,2008-01-01,1
Super Mario,Japan,1981,8.75,93,2008-01-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-01-01,0
Avengers,US,1963,14.3,78,2008-01-01,0
The Lion King,US,1994,15.9,63,2008-01-01,1
Toy Story,US,1995,14.8,40,2008-01-01,0
Ultraman,Japan,1966,7.4,49,2008-01-01,0
Warcraft,US,1994,12.4,51,2008-01-01,20
Yo-kai Watch,Japan,2013,2.09,18,2008-01-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-01-01,0
Angry Birds,US,2009,9.54,76,2008-02-01,0
Anpanman,Japan,1973,38.4,13,2008-02-01,0
Astro Boy,Japan,1952,3.0,32,2008-02-01,0
Barbie,US,1987,36.3,73,2008-02-01,9
Beyblade,Japan,1999,4.6,1,2008-02-01,0
Batman,US,1939,29.9,117,2008-02-01,1
Call Of Duty,US,2003,31.0,28,2008-02-01,5
Candy Crush,US,2012,20.0,0,2008-02-01,0
Cars,US,2006,21.5,89,2008-02-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-02-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-02-01,0
Disney Princess,US,2000,45.4,247,2008-02-01,0
Dora The Explorer,US,2000,15.8,67,2008-02-01,0
Dragon Ball,Japan,1984,10.7,50,2008-02-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-02-01,0
Frozen,US,2013,13.9,107,2008-02-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-02-01,0
Gran Turismo,Japan,1997,4.1,52,2008-02-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-02-01,9
Gundam,Japan,1979,5.0,17,2008-02-01,0
Hamtaro,Japan,1997,3.02,3,2008-02-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-02-01,3
Hello Kitty,Japan,1974,33.5,7,2008-02-01,1
James Bond,US,1953,9.75,135,2008-02-01,1
Jurassic Park,US,1990,10.1,106,2008-02-01,0
Kumamon,Japan,2010,2.36,,2008-02-01,0
Looney Tunes,US,1930,17.46,80,2008-02-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-02-01,0
Monster Strike,Japan,2013,10.0,34,2008-02-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-02-01,0
Paw Patrol,US,2013,15.4,95,2008-02-01,0
Pac-Man,Japan,1980,15.43,8,2008-02-01,2
Peanuts,US,1950,14.4,51,2008-02-01,0
Power Rangers,Japan,1975,8.67,61,2008-02-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-02-01,2
Rilakkuma,Japan,2003,10.0,,2008-02-01,0
Sailor Moon,Japan,1991,2.5,16,2008-02-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-02-01,2
Space Invaders,Japan,1978,13.9,46,2008-02-01,0
Spider-Man,US,1962,26.8,107,2008-02-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-02-01,2
Star Trek,US,1966,11.2,106,2008-02-01,1
Star Wars,US,1977,46.7,60,2008-02-01,2
Street Fighter,Japan,1987,10.7,103,2008-02-01,1
Super Mario,Japan,1981,8.75,93,2008-02-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-02-01,0
Avengers,US,1963,14.3,78,2008-02-01,0
The Lion King,US,1994,15.9,63,2008-02-01,1
Toy Story,US,1995,14.8,40,2008-02-01,0
Ultraman,Japan,1966,7.4,49,2008-02-01,0
Warcraft,US,1994,12.4,51,2008-02-01,20
Yo-kai Watch,Japan,2013,2.09,18,2008-02-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-02-01,0
Angry Birds,US,2009,9.54,76,2008-03-01,0
Anpanman,Japan,1973,38.4,13,2008-03-01,0
Astro Boy,Japan,1952,3.0,32,2008-03-01,0
Barbie,US,1987,36.3,73,2008-03-01,9
Beyblade,Japan,1999,4.6,1,2008-03-01,0
Batman,US,1939,29.9,117,2008-03-01,1
Call Of Duty,US,2003,31.0,28,2008-03-01,4
Candy Crush,US,2012,20.0,0,2008-03-01,0
Cars,US,2006,21.5,89,2008-03-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-03-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-03-01,0
Disney Princess,US,2000,45.4,247,2008-03-01,0
Dora The Explorer,US,2000,15.8,67,2008-03-01,0
Dragon Ball,Japan,1984,10.7,50,2008-03-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-03-01,0
Frozen,US,2013,13.9,107,2008-03-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-03-01,0
Gran Turismo,Japan,1997,4.1,52,2008-03-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2008-03-01,9
Gundam,Japan,1979,5.0,17,2008-03-01,0
Hamtaro,Japan,1997,3.02,3,2008-03-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-03-01,3
Hello Kitty,Japan,1974,33.5,7,2008-03-01,1
James Bond,US,1953,9.75,135,2008-03-01,1
Jurassic Park,US,1990,10.1,106,2008-03-01,0
Kumamon,Japan,2010,2.36,,2008-03-01,0
Looney Tunes,US,1930,17.46,80,2008-03-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-03-01,0
Monster Strike,Japan,2013,10.0,34,2008-03-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-03-01,0
Paw Patrol,US,2013,15.4,95,2008-03-01,0
Pac-Man,Japan,1980,15.43,8,2008-03-01,2
Peanuts,US,1950,14.4,51,2008-03-01,0
Power Rangers,Japan,1975,8.67,61,2008-03-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-03-01,1
Rilakkuma,Japan,2003,10.0,,2008-03-01,0
Sailor Moon,Japan,1991,2.5,16,2008-03-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-03-01,2
Space Invaders,Japan,1978,13.9,46,2008-03-01,0
Spider-Man,US,1962,26.8,107,2008-03-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-03-01,2
Star Trek,US,1966,11.2,106,2008-03-01,1
Star Wars,US,1977,46.7,60,2008-03-01,2
Street Fighter,Japan,1987,10.7,103,2008-03-01,1
Super Mario,Japan,1981,8.75,93,2008-03-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-03-01,0
Avengers,US,1963,14.3,78,2008-03-01,0
The Lion King,US,1994,15.9,63,2008-03-01,1
Toy Story,US,1995,14.8,40,2008-03-01,0
Ultraman,Japan,1966,7.4,49,2008-03-01,0
Warcraft,US,1994,12.4,51,2008-03-01,21
Yo-kai Watch,Japan,2013,2.09,18,2008-03-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-03-01,0
Angry Birds,US,2009,9.54,76,2008-04-01,0
Anpanman,Japan,1973,38.4,13,2008-04-01,0
Astro Boy,Japan,1952,3.0,32,2008-04-01,0
Barbie,US,1987,36.3,73,2008-04-01,8
Beyblade,Japan,1999,4.6,1,2008-04-01,0
Batman,US,1939,29.9,117,2008-04-01,1
Call Of Duty,US,2003,31.0,28,2008-04-01,4
Candy Crush,US,2012,20.0,0,2008-04-01,0
Cars,US,2006,21.5,89,2008-04-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-04-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-04-01,0
Disney Princess,US,2000,45.4,247,2008-04-01,0
Dora The Explorer,US,2000,15.8,67,2008-04-01,0
Dragon Ball,Japan,1984,10.7,50,2008-04-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-04-01,0
Frozen,US,2013,13.9,107,2008-04-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-04-01,0
Gran Turismo,Japan,1997,4.1,52,2008-04-01,1
Grand Theft Auto (Gta),US,1997,10.0,26,2008-04-01,14
Gundam,Japan,1979,5.0,17,2008-04-01,0
Hamtaro,Japan,1997,3.02,3,2008-04-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-04-01,2
Hello Kitty,Japan,1974,33.5,7,2008-04-01,1
James Bond,US,1953,9.75,135,2008-04-01,1
Jurassic Park,US,1990,10.1,106,2008-04-01,0
Kumamon,Japan,2010,2.36,,2008-04-01,0
Looney Tunes,US,1930,17.46,80,2008-04-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-04-01,0
Monster Strike,Japan,2013,10.0,34,2008-04-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-04-01,0
Paw Patrol,US,2013,15.4,95,2008-04-01,0
Pac-Man,Japan,1980,15.43,8,2008-04-01,1
Peanuts,US,1950,14.4,51,2008-04-01,0
Power Rangers,Japan,1975,8.67,61,2008-04-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-04-01,1
Rilakkuma,Japan,2003,10.0,,2008-04-01,0
Sailor Moon,Japan,1991,2.5,16,2008-04-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-04-01,2
Space Invaders,Japan,1978,13.9,46,2008-04-01,0
Spider-Man,US,1962,26.8,107,2008-04-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-04-01,2
Star Trek,US,1966,11.2,106,2008-04-01,0
Star Wars,US,1977,46.7,60,2008-04-01,2
Street Fighter,Japan,1987,10.7,103,2008-04-01,0
Super Mario,Japan,1981,8.75,93,2008-04-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-04-01,0
Avengers,US,1963,14.3,78,2008-04-01,0
The Lion King,US,1994,15.9,63,2008-04-01,1
Toy Story,US,1995,14.8,40,2008-04-01,0
Ultraman,Japan,1966,7.4,49,2008-04-01,0
Warcraft,US,1994,12.4,51,2008-04-01,19
Yo-kai Watch,Japan,2013,2.09,18,2008-04-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-04-01,0
Angry Birds,US,2009,9.54,76,2008-05-01,0
Anpanman,Japan,1973,38.4,13,2008-05-01,0
Astro Boy,Japan,1952,3.0,32,2008-05-01,0
Barbie,US,1987,36.3,73,2008-05-01,8
Beyblade,Japan,1999,4.6,1,2008-05-01,0
Batman,US,1939,29.9,117,2008-05-01,1
Call Of Duty,US,2003,31.0,28,2008-05-01,3
Candy Crush,US,2012,20.0,0,2008-05-01,0
Cars,US,2006,21.5,89,2008-05-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-05-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-05-01,0
Disney Princess,US,2000,45.4,247,2008-05-01,0
Dora The Explorer,US,2000,15.8,67,2008-05-01,0
Dragon Ball,Japan,1984,10.7,50,2008-05-01,5
Fate (Fate/Stay Night),Japan,2004,7.0,29,2008-05-01,0
Frozen,US,2013,13.9,107,2008-05-01,0
Godzilla (Gojira),Japan,1954,2.63,139,2008-05-01,0
Gran Turismo,Japan,1997,4.1,52,2008-05-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2008-05-01,21
Gundam,Japan,1979,5.0,17,2008-05-01,0
Hamtaro,Japan,1997,3.02,3,2008-05-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2008-05-01,3
Hello Kitty,Japan,1974,33.5,7,2008-05-01,1
James Bond,US,1953,9.75,135,2008-05-01,1
Jurassic Park,US,1990,10.1,106,2008-05-01,0
Kumamon,Japan,2010,2.36,,2008-05-01,0
Looney Tunes,US,1930,17.46,80,2008-05-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2008-05-01,1
Monster Strike,Japan,2013,10.0,34,2008-05-01,0
Neon Genesis Evangelion,Japan,1994,2.0,31,2008-05-01,0
Paw Patrol,US,2013,15.4,95,2008-05-01,0
Pac-Man,Japan,1980,15.43,8,2008-05-01,2
Peanuts,US,1950,14.4,51,2008-05-01,0
Power Rangers,Japan,1975,8.67,61,2008-05-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2008-05-01,1
Rilakkuma,Japan,2003,10.0,,2008-05-01,0
Sailor Moon,Japan,1991,2.5,16,2008-05-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2008-05-01,1
Space Invaders,Japan,1978,13.9,46,2008-05-01,0
Spider-Man,US,1962,26.8,107,2008-05-01,2
Spongebob Squarepants,US,1999,16.6,83,2008-05-01,2
Star Trek,US,1966,11.2,106,2008-05-01,0
Star Wars,US,1977,46.7,60,2008-05-01,2
Street Fighter,Japan,1987,10.7,103,2008-05-01,0
Super Mario,Japan,1981,8.75,93,2008-05-01,8
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2008-05-01,0
Avengers,US,1963,14.3,78,2008-05-01,0
The Lion King,US,1994,15.9,63,2008-05-01,1
Toy Story,US,1995,14.8,40,2008-05-01,0
Ultraman,Japan,1966,7.4,49,2008-05-01,0
Warcraft,US,1994,12.4,51,2008-05-01,19
Yo-kai Watch,Japan,2013,2.09,18,2008-05-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2008-05-01,0
Angry Birds,US,2009,9.54,76,2008-06-01,0
Anpanman,Japan,1973,38.4,13,2008-06-01,0
Astro Boy,Japan,1952,3.0,32,2008-06-01,0
Barbie,US,1987,36.3,73,2008-06-01,8
Beyblade,Japan,1999,4.6,1,2008-06-01,0
Batman,US,1939,29.9,117,2008-06-01,2
Call Of Duty,US,2003,31.0,28,2008-06-01,4
Candy Crush,US,2012,20.0,0,2008-06-01,0
Cars,US,2006,21.5,89,2008-06-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2008-06-01,0
Despicable Me (Minions),US,2010,12.3,108,2008-06-01,0
Disney Princess,US,2000,45.4,247,2008-06-01,0
Dora The Explorer,US,2000,15.8,67,2008-06-01,0
Dragon Ball,Japan,1984,10.7,50,2008-06-01,5
